id,operation,level,levelProb,portionRequest,combine,combineProb,combineID,gpaProb,minGpa,maxGpa,minFri,maxFri
0,plus,1,50,2,TRUE,20,1&2,50,10,200,1,10
1,sub,1,50,2,TRUE,20,2,50,10,400,1,10
2,mult,2,50,2,TRUE,20,3,50,0,200,0,3
3,div,2,50,2,TRUE,20,0&1&2,50,10,200,1,3
4,exp,3,30,1,TRUE,20,1,50,0,200,0,4
5,sqrt,3,30,1,TRUE,20,1,50,2,3,2,3
6,log,4,15,1,TRUE,20,1,50,1,3,1,3
7,e,4,15,1,TRUE,20,1,50,1,3,1,3
8,naln,4,10,1,TRUE,20,1,50,1,3,1,3
9,sin,5,30,1,TRUE,20,1,50,1,4,1,4
9,cos,5,30,1,TRUE,20,1,50,1,4,1,4
9,tan,5,30,1,TRUE,20,1,50,1,4,1,4
10,con,6,30,1,TRUE,20,1,50,1,1,1,1
